REF MADRE;EAN PRODUCT;NOMBRE (SIN TALLA);MARCA;PVP +IVA;ID IVA;PRODUCT CATEGORIA;CATEGORIAS;CARACTERISTICAS;GAMA;FILTROS;PRODUCT;META-DESCRIPCION;URL IMGs;DESCRIPCION LARGA;ANCHURA;ALTURA;PROFUNDIDAD;PESO;ID DISPONIBILIDAD;ACTIVO;DISP. PEDIDOS;TEMPORADA;TALLAS;GENERO;EDAD;COLOR;REF COMBI;EAN COMBI;NOMBRE COMBI:TIPO;;REF;NOMBRE;PROVEEDOR;FAMILIA;SUBFAMILIA;P.COMPRA;PVP (+IVA);EAN;ALT 1;ALT 2;ALT 3;UNIDAD;LOTE;PESO;CODNC;LIBRE1=MARCA;LIBRE2=TEMPORADA;LIBRE3=PRODUCTO;LIBRE4=GAMA/MODELO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0470088005A;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 46,94 MM + KIT JUNTAS PARTE SUPERIOR MC 85 2021-2024;622;ATEN;KP+JA;56,63290413;139,8486;8053300717675;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0470088005B;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 46,95 MM + KIT JUNTAS PARTE SUPERIOR MC 85 2021-2024;622;ATEN;KP+JA;56,63290413;139,8486;8053300717682;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0470088005C;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 46,96 MM + KIT JUNTAS PARTE SUPERIOR MC 85 2021-2024;622;ATEN;KP+JA;56,63290413;139,8486;8053300717699;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0470088005D;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 46,97 MM + KIT JUNTAS PARTE SUPERIOR MC 85 2021-2024;622;ATEN;KP+JA;40,99623471;101,2356;8053300717842;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0475089003A;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 47,44 MM + KIT JUNTAS PARTE SUPERIOR YZ 85 2002-2018;622;ATEN;KP+JA;40,99623471;101,2356;8053300717859;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0475089003B;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 47,45 MM + KIT JUNTAS PARTE SUPERIOR YZ 85 2002-2018;622;ATEN;KP+JA;40,99623471;101,2356;8053300717866;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0475089003C;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 47,46 MM + KIT JUNTAS PARTE SUPERIOR YZ 85 2002-2018;622;ATEN;KP+JA;40,99623471;101,2356;8053300717873;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0475089003D;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 47,47 MM + KIT JUNTAS PARTE SUPERIOR YZ 85 2002-2018;622;ATEN;KP+JA;47,1026876;116,3148;8053300717811;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0475199005A;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 47,45 MM + KIT JUNTAS PARTE SUPERIOR YZ 85 2019-2024;622;ATEN;KP+JA;47,1026876;116,3148;8053300717828;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0475199005B;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 47,46 MM + KIT JUNTAS PARTE SUPERIOR YZ 85 2019-2024;622;ATEN;KP+JA;47,1026876;116,3148;8053300717835;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
