REF MADRE;EAN PRODUCT;NOMBRE (SIN TALLA);MARCA;PVP S/IVA;ID IVA;PRODUCT CATEGORIA;CATEGORIAS;CARACTERISTICAS;GAMA;TIPO PRODUCT;PRODUCT;META-DESCRIPCION;URL IMGs;DESCRIPCION LARGA;ANCHURA;ALTURA;PROFUNDIDAD;PESO;ID DISPONIBILIDAD;ACTIVO;DISP. PEDIDOS;TEMPORADA;TALLAS;GENERO;EDAD;COLOR;REF COMBI;EAN COMBI;NOMBRE COMBI:TIPO;;REF;NOMBRE;PROVEEDOR;FAMILIA;SUBFAMILIA;P.COMPRA;PVP S/IVA;EAN;ALT 1;ALT 2;ALT 3;UNIDAD;LOTE;PESO;CODNC;LIBRE1=MARCA;LIBRE2=TEMPORADA;LIBRE3=PRODUCTO;LIBRE4=GAMA/MODELO
KSX2012;19010579;Radiador Izquierdo KSX KAWASAKI KX 250 F 2009-2016;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010579.jpg;"Radiador de tamaño OEM</br></br><li>Alternativa económica al radiador original
</li><li>Mismas dimensiones que OEM
</li><li>Montaje sencillo y ajuste perfecto, no requiere modificaciones</li></br></br>";17,1;12,6;40,2;2;2;1;1;;;;;;;;;;KSX2012;RADIADOR IZQUIERDO KSX KAWASAKI KX 250 F 2009-2016;676;KSX;;64,9;131,164;19010579;19010579;1901-0579;;1;0;2;87141090;KSX;;RADIADOR;
KSX2021;19010580;Radiador Derecho KSX KAWASAKI KX 450 F 2009-2015;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010580.jpg;"Radiador de tamaño OEM</br></br><li>Alternativa económica al radiador original
</li><li>Mismas dimensiones que OEM
</li><li>Montaje sencillo y ajuste perfecto, no requiere modificaciones</li></br></br>";17,4;12,6;33,5;2;2;1;1;;;;;;;;;;KSX2021;RADIADOR DERECHO KSX KAWASAKI KX 450 F 2009-2015;676;KSX;;64,9;131,164;19010580;19010580;1901-0580;;1;0;2;87141090;KSX;;RADIADOR;
KSX2022;19010581;Radiador Izquierdo KSX KAWASAKI KX 450 F 2009-2015;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010581.jpg;"Radiador de tamaño OEM</br></br><li>Alternativa económica al radiador original
</li><li>Mismas dimensiones que OEM
</li><li>Montaje sencillo y ajuste perfecto, no requiere modificaciones</li></br></br>";16,8;12,6;40,2;2;2;1;1;;;;;;;;;;KSX2022;RADIADOR IZQUIERDO KSX KAWASAKI KX 450 F 2009-2015;676;KSX;;64,9;131,164;19010581;19010581;1901-0581;;1;0;2;87141090;KSX;;RADIADOR;
KSX5022;19010582;Radiador Izquierdo KSX HUSABERG FE 390 2010-2012;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010582.jpg;"Radiador de tamaño OEM</br></br><li>Alternativa económica al radiador original
</li><li>Mismas dimensiones que OEM
</li><li>Montaje sencillo y ajuste perfecto, no requiere modificaciones</li></br></br>";18,4;11,8;36,7;2;2;1;1;;;;;;;;;;KSX5022;RADIADOR IZQUIERDO KSX HUSABERG FE 390 2010-2012;676;KSX;;64,9;131,164;19010582;19010582;1901-0582;;1;0;2;87141090;KSX;;RADIADOR;
KSX4031;19010585;Radiador Derecho KSX YAMAHA YZ 250 F 2014-2018;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010585.jpg;"Radiador de tamaño OEM</br></br><li>Alternativa económica al radiador original
</li><li>Mismas dimensiones que OEM
</li><li>Montaje sencillo y ajuste perfecto, no requiere modificaciones</li></br></br>";17,4;14,1;36,7;2;2;1;1;;;;;;;;;;KSX4031;RADIADOR DERECHO KSX YAMAHA YZ 250 F 2014-2018;676;KSX;;64,9;131,164;19010585;19010585;1901-0585;;1;0;2;87141090;KSX;;RADIADOR;
KSX4032;19010586;Radiador Izquierdo KSX YAMAHA YZ 250 F 2014-2018;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010586.jpg;"Radiador de tamaño OEM</br></br><li>Alternativa económica al radiador original
</li><li>Mismas dimensiones que OEM
</li><li>Montaje sencillo y ajuste perfecto, no requiere modificaciones</li></br></br>";17,1;9,8;33,7;2;2;1;1;;;;;;;;;;KSX4032;RADIADOR IZQUIERDO KSX YAMAHA YZ 250 F 2014-2018;676;KSX;;64,9;131,164;19010586;19010586;1901-0586;;1;0;2;87141090;KSX;;RADIADOR;
KSX5051;19010615;Radiador Derecho KSX HUSQVARNA FC 250 2016-2018;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010615.jpg;"Radiador de tamaño OEM</br></br><li>Alternativa económica al radiador original
</li><li>Mismas dimensiones que OEM
</li><li>Montaje sencillo y ajuste perfecto, no requiere modificaciones</li></br></br>";14,8;12,6;41,2;2;2;1;1;;;;;;;;;;KSX5051;RADIADOR DERECHO KSX HUSQVARNA FC 250 2016-2018;676;KSX;;64,9;131,164;19010615;19010615;1901-0615;;1;0;2;87141090;KSX;;RADIADOR;
KSX5061;19010616;Radiador Derecho KSX HUSQVARNA FC 450 2016-2018;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010616.jpg;"Radiador de tamaño OEM</br></br><li>Alternativa económica al radiador original
</li><li>Mismas dimensiones que OEM
</li><li>Montaje sencillo y ajuste perfecto, no requiere modificaciones</li></br></br>";14,8;12,8;40,9;2;2;1;1;;;;;;;;;;KSX5061;RADIADOR DERECHO KSX HUSQVARNA FC 450 2016-2018;676;KSX;;64,9;131,164;19010616;19010616;1901-0616;;1;0;2;87141090;KSX;;RADIADOR;
KSX5052;19010617;Radiador Izquierdo KSX HUSQVARNA FC 250 2016-2019;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010617.jpg;"Radiador de tamaño OEM</br></br><li>Alternativa económica al radiador original
</li><li>Mismas dimensiones que OEM
</li><li>Montaje sencillo y ajuste perfecto, no requiere modificaciones</li></br></br>";14,8;12,6;40,9;2;2;1;1;;;;;;;;;;KSX5052;RADIADOR IZQUIERDO KSX HUSQVARNA FC 250 2016-2019;676;KSX;;64,9;131,164;19010617;19010617;1901-0617;;1;0;2;87141090;KSX;;RADIADOR;
KSX5081;19010856;Radiador Derecho KSX GAS GAS EC 250 2021-2023;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010856.jpg;Radiator</br></br><li>Economical alternative to the original radiator</li><li>Same dimensions as OEM</li></br></br>;16,5;11,6;39,5;2;2;1;1;;;;;;;;;;KSX5081;RADIADOR DERECHO KSX GAS GAS EC 250 2021-2023;676;KSX;;64,9;131,164;19010856;19010856;1901-0856;;1;0;2;87089135;KSX;;RADIADOR;
KSX5071;19010857;Radiador Derecho KSX GAS GAS EC 250 F 2021-2023;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010857.jpg;Radiator</br></br><li>Economical alternative to the original radiator</li><li>Same dimensions as OEM</li></br></br>;16,5;11,5;39,5;2;2;1;1;;;;;;;;;;KSX5071;RADIADOR DERECHO KSX GAS GAS EC 250 F 2021-2023;676;KSX;;64,9;131,164;19010857;19010857;1901-0857;;1;0;2;87089135;KSX;;RADIADOR;
