REF MADRE;EAN PRODUCT;NOMBRE (SIN TALLA);MARCA;PVP +IVA;ID IVA;PRODUCT CATEGORIA;CATEGORIAS;CARACTERISTICAS;GAMA;FILTROS;PRODUCT;META-DESCRIPCION;URL IMGs;DESCRIPCION LARGA;ANCHURA;ALTURA;PROFUNDIDAD;PESO;ID DISPONIBILIDAD;ACTIVO;DISP. PEDIDOS;TEMPORADA;TALLAS;GENERO;EDAD;COLOR;REF COMBI;EAN COMBI;NOMBRE COMBI:TIPO;;REF;NOMBRE;PROVEEDOR;FAMILIA;SUBFAMILIA;P.COMPRA;PVP (+IVA);EAN;ALT 1;ALT 2;ALT 3;UNIDAD;LOTE;PESO;CODNC;LIBRE1=MARCA;LIBRE2=TEMPORADA;LIBRE3=PRODUCTO;LIBRE4=GAMA/MODELO
2174-118;;Botas Gaerne Sg12 - Forge;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-118-1.jpg,https://mxzambrana.com/img-tmp/2174-118-2.jpg,https://mxzambrana.com/img-tmp/2174-118-3.jpg,https://mxzambrana.com/img-tmp/2174-118-4.jpg,https://mxzambrana.com/img-tmp/2174-118-5.jpg,https://mxzambrana.com/img-tmp/2174-118-6.jpg,https://mxzambrana.com/img-tmp/2174-118-7.jpg;;40;60;18;3;2;1;1;2025;42;Hombre;Adulto;;2174-42-118;8053435540872;Talla:select;;2169-33-008;BOTAS NIÑO GAERNE GXJ - NEGRO/NARANJA - 33;787;GAE;;139,62;259,9;8,05344E+12;2169-008-33;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-118;;Botas Gaerne Sg12 - Forge;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-118-1.jpg,https://mxzambrana.com/img-tmp/2174-118-2.jpg,https://mxzambrana.com/img-tmp/2174-118-3.jpg,https://mxzambrana.com/img-tmp/2174-118-4.jpg,https://mxzambrana.com/img-tmp/2174-118-5.jpg,https://mxzambrana.com/img-tmp/2174-118-6.jpg,https://mxzambrana.com/img-tmp/2174-118-7.jpg;;40;60;18;3;2;1;1;2025;43;Hombre;Adulto;;2174-43-118;8053435540889;Talla:select;;2169-34-008;BOTAS NIÑO GAERNE GXJ - NEGRO/NARANJA - 34;787;GAE;;139,62;259,9;8,05344E+12;2169-008-34;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-118;;Botas Gaerne Sg12 - Forge;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-118-1.jpg,https://mxzambrana.com/img-tmp/2174-118-2.jpg,https://mxzambrana.com/img-tmp/2174-118-3.jpg,https://mxzambrana.com/img-tmp/2174-118-4.jpg,https://mxzambrana.com/img-tmp/2174-118-5.jpg,https://mxzambrana.com/img-tmp/2174-118-6.jpg,https://mxzambrana.com/img-tmp/2174-118-7.jpg;;40;60;18;3;2;1;1;2025;44;Hombre;Adulto;;2174-44-118;8053435540896;Talla:select;;2169-35-008;BOTAS NIÑO GAERNE GXJ - NEGRO/NARANJA - 35;787;GAE;;139,62;259,9;8,05344E+12;2169-008-35;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-118;;Botas Gaerne Sg12 - Forge;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-118-1.jpg,https://mxzambrana.com/img-tmp/2174-118-2.jpg,https://mxzambrana.com/img-tmp/2174-118-3.jpg,https://mxzambrana.com/img-tmp/2174-118-4.jpg,https://mxzambrana.com/img-tmp/2174-118-5.jpg,https://mxzambrana.com/img-tmp/2174-118-6.jpg,https://mxzambrana.com/img-tmp/2174-118-7.jpg;;40;60;18;3;2;1;1;2025;44.5;Hombre;Adulto;;2174-44.5-118;8053435540902;Talla:select;;2169-36-008;BOTAS NIÑO GAERNE GXJ - NEGRO/NARANJA - 36;787;GAE;;139,62;259,9;8,05344E+12;2169-008-36;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-118;;Botas Gaerne Sg12 - Forge;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-118-1.jpg,https://mxzambrana.com/img-tmp/2174-118-2.jpg,https://mxzambrana.com/img-tmp/2174-118-3.jpg,https://mxzambrana.com/img-tmp/2174-118-4.jpg,https://mxzambrana.com/img-tmp/2174-118-5.jpg,https://mxzambrana.com/img-tmp/2174-118-6.jpg,https://mxzambrana.com/img-tmp/2174-118-7.jpg;;40;60;18;3;2;1;1;2025;45;Hombre;Adulto;;2174-45-118;8053435540919;Talla:select;;2169-37-008;BOTAS NIÑO GAERNE GXJ - NEGRO/NARANJA - 37;787;GAE;;139,62;259,9;8,05344E+12;2169-008-37;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-118;;Botas Gaerne Sg12 - Forge;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-118-1.jpg,https://mxzambrana.com/img-tmp/2174-118-2.jpg,https://mxzambrana.com/img-tmp/2174-118-3.jpg,https://mxzambrana.com/img-tmp/2174-118-4.jpg,https://mxzambrana.com/img-tmp/2174-118-5.jpg,https://mxzambrana.com/img-tmp/2174-118-6.jpg,https://mxzambrana.com/img-tmp/2174-118-7.jpg;;40;60;18;3;2;1;1;2025;46;Hombre;Adulto;;2174-46-118;8053435540926;Talla:select;;2169-38-008;BOTAS NIÑO GAERNE GXJ - NEGRO/NARANJA - 38;787;GAE;;139,62;259,9;8,05344E+12;2169-008-38;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-118;;Botas Gaerne Sg12 - Forge;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-118-1.jpg,https://mxzambrana.com/img-tmp/2174-118-2.jpg,https://mxzambrana.com/img-tmp/2174-118-3.jpg,https://mxzambrana.com/img-tmp/2174-118-4.jpg,https://mxzambrana.com/img-tmp/2174-118-5.jpg,https://mxzambrana.com/img-tmp/2174-118-6.jpg,https://mxzambrana.com/img-tmp/2174-118-7.jpg;;40;60;18;3;2;1;1;2025;47;Hombre;Adulto;;2174-47-118;8053435540933;Talla:select;;2169-39-008;BOTAS NIÑO GAERNE GXJ - NEGRO/NARANJA - 39;787;GAE;;139,62;259,9;8,05344E+12;2169-008-39;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-118;;Botas Gaerne Sg12 - Forge;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-118-1.jpg,https://mxzambrana.com/img-tmp/2174-118-2.jpg,https://mxzambrana.com/img-tmp/2174-118-3.jpg,https://mxzambrana.com/img-tmp/2174-118-4.jpg,https://mxzambrana.com/img-tmp/2174-118-5.jpg,https://mxzambrana.com/img-tmp/2174-118-6.jpg,https://mxzambrana.com/img-tmp/2174-118-7.jpg;;40;60;18;3;2;1;1;2025;48;Hombre;Adulto;;2174-48-118;8053435540940;Talla:select;;2169-39.5-008;BOTAS NIÑO GAERNE GXJ - NEGRO/NARANJA - 39.5;787;GAE;;139,62;259,9;8,05344E+12;2169-008-39,5;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-119;;Botas Gaerne Sg12 - Portofino;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-119-1.jpg,https://mxzambrana.com/img-tmp/2174-119-2.jpg,https://mxzambrana.com/img-tmp/2174-119-3.jpg,https://mxzambrana.com/img-tmp/2174-119-4.jpg,https://mxzambrana.com/img-tmp/2174-119-5.jpg,https://mxzambrana.com/img-tmp/2174-119-6.jpg,https://mxzambrana.com/img-tmp/2174-119-7.jpg;;40;60;18;3;2;1;1;2025;41;Hombre;Adulto;;2174-41-119;8053435540957;Talla:select;;2169-40-008;BOTAS NIÑO GAERNE GXJ - NEGRO/NARANJA - 40;787;GAE;;139,62;259,9;8,05344E+12;2169-008-40;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-119;;Botas Gaerne Sg12 - Portofino;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-119-1.jpg,https://mxzambrana.com/img-tmp/2174-119-2.jpg,https://mxzambrana.com/img-tmp/2174-119-3.jpg,https://mxzambrana.com/img-tmp/2174-119-4.jpg,https://mxzambrana.com/img-tmp/2174-119-5.jpg,https://mxzambrana.com/img-tmp/2174-119-6.jpg,https://mxzambrana.com/img-tmp/2174-119-7.jpg;;40;60;18;3;2;1;1;2025;42;Hombre;Adulto;;2174-42-119;8053435540964;Talla:select;;2169-41-008;BOTAS NIÑO GAERNE GXJ - NEGRO/NARANJA - 41;787;GAE;;139,62;259,9;8,05344E+12;2169-008-41;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
2174-119;;Botas Gaerne Sg12 - Portofino;Gaerne;559,9;20;BOTAS;;;SG 12;;Botas;Compra Equipacion De Cross Y Enduro En Mx Zambrana 559,9 Al Mejor Precio;https://mxzambrana.com/img-tmp/2174-119-1.jpg,https://mxzambrana.com/img-tmp/2174-119-2.jpg,https://mxzambrana.com/img-tmp/2174-119-3.jpg,https://mxzambrana.com/img-tmp/2174-119-4.jpg,https://mxzambrana.com/img-tmp/2174-119-5.jpg,https://mxzambrana.com/img-tmp/2174-119-6.jpg,https://mxzambrana.com/img-tmp/2174-119-7.jpg;;40;60;18;3;2;1;1;2025;43;Hombre;Adulto;;2174-43-119;8053435540971;Talla:select;;2169-33-009;BOTAS NIÑO GAERNE GXJ - GRIS/AMARILLO FLUO - 33;787;GAE;;139,62;259,9;8,05344E+12;2169-009-33;;;1;0;3;64029110;GAERNE;2025;BOTAS;GXJ
